absorb			/ Eb5sR:b/  vt.吸收；使专心
abstract		  / AbstrAkt/  a.抽象的 n。摘要的
abundant		  / E5bQndEnt/  a.丰富的;大量的
academic  	 / AkE5demik/  a.学院的；学术的
accelerate		/ Ak5selEreit/  vt。（使)加快；促进 
accidental   / Aksi5dentl/  a.偶然的;非本质的
accent  / 5AksEnt， Ak5sent/  n。口音,腔调；重音 
access   / 5Akses/  n。接近；通道,入口
acceptance		/ Ek5septEns/  n.接受，验收；承认
accommodate		/ E5kRmEdeit/  vt。容纳；供应，供给
accommodation	/ E，kRmE5deiFEn/  n.招待设备；预定铺位
accompany		/ E5kQmpEni/  vt。陪伴，陪同;伴随
accomplish		/ E5kRmpliF/  vt.达到(目的)；完成
accordance		/ E5kR:dEns/  n。一致；和谐；授予
accordingly		/ E5kR:diNli/  ad。因此，所以;照着
account		/ E5kaunt/  n.记述；解释;帐目
accumulate		/ E5kju:mjuleit/  vt。积累 vi。堆积
accuracy		/ 5AkjurEsi/  n.准确(性）;准确度
accurate		/ 5Akjurit/  a.准确的，正确无误的
accuse			/ E5kju:z/  vt。指责；归咎于
accustomed		/ E5kQstEmd/  a。惯常的；习惯的
ache			/ eik/  vi.痛;想念 n。疼痛
achieve		/ E5tFi：v/  vt。完成，实现；达到
achievement		/ E5tFi:vmEnt/  n.完成；成就，成绩
acid			/ 5Asid/  n.酸；酸的,酸性的
acquaintance		/ E5kweintEns/  n。认识;了解；熟人
acquire		/ E5kwaiE/  vt。取得；获得；学到
acre			/ 5eikE/  n。英亩（=6。07亩)
actual			/ 5AktjuEl/  a。实际的；现行的
actually		/ 5AktjuEli/  ad.实际上;竟然
adapt			/ E5dApt/  vt。使适应；改编
address		/ E5dres/  n.地址；演说；谈吐
adequate		/ 5Adikwit/  a。足够的；可以胜任的
adjective		/ 5AdViktiv/  n.形容词 a.形容词的
adjust			/ E5dVQst/  vt.调整，调节;校正
administration		/ Edminis5treiFEn/  n。管理;管理部门
admire			/ Ed5maiE/  vt.钦佩,羡慕，赞赏
admission		/ Ed5miFEn/  n.允许进入；承认
admit			/ Ed5mit/  vt.承认;准许…进入
adopt			/ E5dRpt/  vt。收养；采用；采取
adult			/ 5AdQlt/  n。成年人 a.成年的
advance		/ Ed5va：ns/  vi.前进;提高 n.进展
advanced		/ Ed5va：nst/  a.先进的；高级的
advantage		/ Ed5va:ntidV/  n。优点,优势；好处
adventure		/ Ed5ventFE/  n。冒险；惊险活动
adverb			/ 5AdvE:b/  n.副词
advertisement		/ Ed5vE：tismEnt/  n.广告；公告；登广告
advisable		/ Ed5vaizEbl/  n.明智的；可取的
advise			/ Ed5vaiz/  vt.劝告；建议;通知
aeroplane		/ 5ZErEplein/  n.飞机
affair			/ E5fZE/  n。事情,事件；事务
affect			/ E5fekt/  vt.影响；感动
affection		/ E5fekFEn/  n.慈爱,爱；爱慕
afford			/ E5fR：d/  vt.担负得起…；提供
afterward		/ 5a：ftEwEd（z)/  ad.后来，以后
aggressive		/ E5gresiv/  a.侵略的；好斗的
agreement		/ E5gri：mEnt/  n。协定，协议;同意
alcohol		/ 5AlkEhRl/  n.酒精，乙醇
alloy			/ 5AlRi， E5lRi/  n.合金；(金属的）成色
alphabet		/ 5AlfEbit/  n.字母表,字母系统
alternative		/ R:l5tE：nEtiv/  n.替换物；取舍，抉择
altitude		/ 5Altitju：d/  n.高,高度；高处
altogether		/ R:ltE5geTE/  ad。完全;总而言之
aluminium		/ Alju5minjEm/  n.铝
ambulance		/ 5AmbjulEns/  n.救护车;野战医院
amuse			/ E5mju：z/  vt.逗…乐；给…娱乐
ancestor		/ 5AnsistE/  n。祖宗,祖先
anchor			/ 5ANkE/  n。锚 vi.抛锚,停泊
ancient		/ 5einFEnt/  a。古代的，古老的
angle			/ 5ANgl/  n。角,角度
ankle			/ 5ANkl/  n.踝，踝节部
announce		/ E5nauns/  vt.宣布,宣告，发表
annoy			/ E5nRi/  vt。使恼怒；打搅
ant			/ Ant/  n。蚂蚁
anticipate		/ An5tisipeit/  vt。预料,预期，期望
apartment		/ E5pa:tmEnt/  n。一套公寓房间
apparatus		/ ，ApE5reitEs/  n.器械，仪器；器官
apparent		/ E5pArEnt/  a.表面上的;明显的
appeal			/ E5pi:l/  vi。&n.呼吁;申述
appear			/ E5piE/  vi.出现；来到；似乎
appearance		/ E5piErEns/  n.出现，来到；外观
appetite		/ 5Apitait/  n。食欲，胃口;欲望
appliance		/ E5plaiEns/  n。用具，器具,器械
applicable		/ 5AplikEbl/  a。能应用的;适当的
application		/ Apli5keiFEn/  n。请求,申请；施用
apply			/ E5plai/  vt.应用，实施，使用
appoint		/ E5pRint/  vt.任命，委任；约定
appointment		/ E5pRintmEnt/  n.任命；约定，约会
appreciate		/ E5pri：Fieit/  vt。欣赏；领会；感谢
approach		/ E5prEutF/  vt。向…靠近 n.靠近
appropriate		/ E5prEupriit/  a。适当的，恰当的
approval		/ E5pru：vEl/  n。赞成，同意；批准
approve		/ E5pru：v/  vt.赞成，称许;批准
approximate		/ E5prRksimit/  a。近似的 vt。近似
arbitrary		/ 5a：bitrEri/  a。随心所欲的；专断的
architecture		/ 5a:kitektFE/  n.建筑学；建筑式样
argument		/ 5a:gju:mEnt/  n.争论,辩论；理由
arise			/ E5raiz/  vi.出现；由…引起
arithmetic		/ E5riWmEtik/  n。算术，四则运算
army			/ 5a:mi/  n.军队;陆军
around			/ E5raund/  prep。在…周围
arouse			/ E5rauz/  vt。引起，唤起；唤醒
arrange		/ E5reindV/  vt。筹备;整理；调解
arrangement	/ E5reindVmEnt/  n.整理，排列；安排
arrest			/ E5rest/  vt。逮捕，拘留；阻止
arrival		/ E5raivEl/  n。到达；到来；到达者
arrow			/ 5ArEu/  n。箭；箭状物
article		/ 5a:tikl/  n.文章；条款；物品
artificial		/ a：ti5fiFEl/  a.人工的;娇揉造作的
artistic		/ a：5tistik/  a.艺术的；艺术家的
ash			/ AF/  n.灰，灰末；骨灰
ashamed		/ E5Feimd/  a。惭愧(的）；羞耻（的）
aspect			/ 5Aspekt/  n.方面；样子，外表
assemble		/ E5sembl/  vt。集合，召集；装配
assembly		/ E5sembli/  n.集合；集会；装配
assess			/ E5ses/  vt.对(财产等)估价
assign			/ E5sain/  vt.指派；分配；指定
assignment		/ E5sainmEnt/  n。任务,指定的作业
assist			/ E5sist/  vt.援助，帮助；搀扶
assistant		/ E5sistEnt/  n。助手，助理;助教
assistance		/ E5sistEns/  n. 协助，援助
associate		/ E5sEuFieit/  vi。交往 n.伙伴，同事
association		/ EsEusi5eiFEn/  n。协会,团体；联合
assume			/ E5sju：m/  vt.假定；承担;呈现
assure			/ E5FuE/  vt.使确信;向…保证
astonish		/ Es5tRniF/  vt.使惊讶，使吃惊
astronaut		/ 5AstFEunR:t/  n。宇宙航行员，宇航员
Atlantic		/ Et5lAntik/  a。大西洋的 n。大西洋
atmosphere		/ 5AtmEsfiE/  n.大气；空气；气氛
atom			/ 5AtEm/  n。原子；微粒;微量
atomic			/ E5tRmik/  a。原子的;原子能的
attach			/ E5tAtF/  vt。缚，系，贴；附加
attain			/ E5tein/  vt.达到，获得,完成
attempt		/ E5tempt/  vt。尝试，试图 n。企图
attend			/ E5tend/  vt.出席；照顾，护理
attract		/ E5trAkt/  vt.吸引；引起，诱惑
attraction		/ E5treAkFEn/  n.吸引；吸引力;引力
attractive		/ E5trAktiv/  a.有吸引力的
attribute		/ 5Atribju:t/  vt.把…归因于 n。属性
audience		/ 5R:djEns/  n.听众,观众，读者
authority		/ R：5WRriti/  n。当局，官方；权力
auto			/ 5R：tEu/  n.（口语)汽车
automatic		/ R：tE5mAtik/  a。自动的；机械的
automobile		/ 5R:tEmEbi:l/  n。汽车，机动车
autumn			/ 5R：tEm/  n。秋，秋季
auxiliary		/ R:g5ziljEri/  a.辅助的；附属的
available		/ E5veilEbl/  a。可利用的;通用的
avenue			/ 5Avinju：/  n.林荫道，道路;大街
average		/ 5AvEridV/  n。平均数 a.平均的
await			/ E5weit/  vt.等候，期待
awake			/ E5weik/  a。醒着的 vt。唤醒
award			/ E5wR:d/  n。奖，奖品；判定
aware			/ E5wZE/  a.知道的，意识到的
awful			/ 5R:ful/  a.令人不愉快的
awkward		/ 5R:kwEd/  a.笨拙的;尴尬的
ax			/ Aks/  n.斧子
backward		/ 5bAkwEd/  a.向后的;倒的 ad。倒
bacteria		/ bAk5tiEriE/  n.细菌
baggage		/ 5bAgidV/  n.行李
bake			/ beik/  vt.烤，烘，焙；烧硬
balance		/ 5bAlEns/  vt.使平衡；称 n.天平
balloon		/ bE5lu:n/  n.气球,玩具气球
band			/ bAnd/  n。乐队；带；波段
bang			/ bAN/  n。巨响，枪声；猛击
barber			/ 5ba：bE/  n.理发师
bare			/ bZE/  a.赤裸的；仅仅的
bargain		/ 5ba：gin/  n.交易 vi。议价;成交
barrel			/ 5bArEl/  n。桶；圆筒；枪管
barrier		/ 5bAriE/  n。栅栏，屏障；障碍
basically		/ 5beisikEli/  ad。基本上
basis			/ 5beisis/  n.基础，根据
battery		/ 5bAtEri/  n。电池；一套，一组
bay			/ bei/  n.湾；山脉中的凹处
beam			/ bi:m/  n。梁;横梁；束，柱
bear			/ bZE/  n。熊；粗鲁的人
bear			/ bZE/  vt。容忍；负担；生育
beard			/ biEd/  n。胡须，络腮胡子
beast			/ bi：st/  n。兽,野兽；牲畜
behalf			/ bi5ha:f/  n。利益，维护，支持
beneath		/ bi5ni:W/  prep.在…下方
beneficial		/ beni5fiFEl/  a.有利的,有益的
bet			/ bet/  vt。&vi。&n。打赌
Bible			/ 5baibl/  n.基督教《圣经》
billion		/ 5biljEn/  num。万亿(英)
bind			/ baind/  vt.捆绑;包扎；装钉
